cohort,grouping,subtype,n,mean_susceptibility,exec_loss_prev_%
BeatAML,ELN2017,NonAML,11,0.6818599954570987,0.0
BeatAML,consensusAMLFusions,RUNX1-RUNX1T1,16,0.5270240990395918,0.0
DepMap,lineage,Lymphoid,260,0.45636083667049,6.2745098039215685
TCGA-DLBC,cohort,DLBC,48,0.4531884473661738,4.166666666666666
BeatAML,consensusAMLFusions,PML-RARA,20,0.4453732927043011,0.0
BeatAML,ELN2017,Adverse,175,0.4403819669388575,2.2857142857142856
BeatAML,ELN2017,NonInitial,210,0.43943132299055465,0.4761904761904762
TCGA-LAML,cohort,LAML,173,0.4371483313614217,2.8901734104046244
BeatAML,ELN2017,FavorableOrIntermediate,8,0.4331197000434029,0.0
BeatAML,ELN2017,Favorable,158,0.41122747114956537,0.0
BeatAML,consensusAMLFusions,GATA2-MECOM,11,0.40023920016984876,0.0
BeatAML,consensusAMLFusions,CBFB-MYH11,41,0.39943589549942293,0.0
BeatAML,ELN2017,Intermediate,100,0.3977298808364558,1.0
DepMap,lineage,Myeloid,88,0.3781657477301013,0.0
BeatAML,consensusAMLFusions,KMT2A_re,26,0.2887573408420186,0.0
BeatAML,consensusAMLFusions,MLLT3-KMT2A,17,0.2767387482562132,0.0
