drug,class,n,beta_crude,ci_lo,ci_hi,p_crude,beta_adj_guardian,p_adj_guardian
venetoclax,BCL2-selective,170,0.07619184062677654,-0.07609970345579394,0.22848338470934704,0.32471249311866096,0.016044082658870744,0.8494949878008112
navitoclax,BCL2/xL/w,171,0.1276769870470308,-0.022302308904715934,0.27765628299877754,0.0946953335626715,0.1006445157668377,0.20868746131464774
abt737,BCL2/xL/w,165,0.09982224232004848,-0.05128425441889285,0.2509287390589898,0.1939085743976219,0.046673292718163756,0.5805195861175173
azd5991,MCL1-selective,130,0.066281948452517,-0.09822808237612021,0.23079197928115422,0.4267784284599374,0.04175556441189056,0.6895049684212077
mim1,MCL1-selective,160,-0.12504302963531197,-0.27747229180065514,0.027386232530031224,0.10717114162358078,-0.10803471728234143,0.2718981702594513
umi77,MCL1-selective,130,0.002028978301725437,-0.16073131894538592,0.1647892755488368,0.9803584441311675,0.05347398619142172,0.6306450675644176
wehi539,BCL-xL-selective,165,0.10114968524141635,-0.06085442655379028,0.263153797036623,0.21938307615908847,0.1335151155578421,0.20275431491742765
obatoclax,pan-guardian,158,-0.08265042399393958,-0.2435363229350277,0.07823547494714851,0.31178388235862076,0.02691994007430204,0.8032147215481823
sabutoclax,pan-guardian,158,0.005394702359579527,-0.14595415989535762,0.1567435646145167,0.9439572939975446,0.07799708911510939,0.42491866473534257
tw37,pan-guardian,160,-0.018314427318228264,-0.18116212507728724,0.1445332704408307,0.8244961271729356,0.05766025597934722,0.5832193591580094
