CellType,n,MCL1,BCL2,guardian,exec_avail,bypass
Mono,564,1.1229627515867044,0.03126699266613434,0.6141907970141786,0.489527080097045,0.3124234168855867
Mono-like,1133,1.2360651893384786,0.0131314497521301,0.6249721423156597,0.5120758626831565,0.30361884403646233
cDC,157,0.9302193143357801,0.1574528583412349,0.5190288583625505,0.5085634565243518,0.25903570040374096
ProMono,165,1.1775293868003176,0.06511881573982273,0.5549312650707237,0.5282979093643573,0.2574143628672664
ProMono-like,226,1.0498867593198649,0.07188497467250426,0.5238665814863482,0.5075678599170944,0.2567223651750457
cDC-like,353,0.8983571111582731,0.06968187836489265,0.5297078597373504,0.5158470580306618,0.25533106160372177
GMP,193,0.8616140274812835,0.12395499545885907,0.4875273625285314,0.47408603841592745,0.2531791221670045
CTL,86,0.6054894742856456,0.22011484723545996,0.475705400919549,0.48247228952439103,0.24706341936139264
T,536,0.4512843421991178,0.40361115399854486,0.46069845603810317,0.47393095025283755,0.2414503733334557
HSC,130,0.6861208841811962,0.13179437305300512,0.4485681832523506,0.46687574935318993,0.23851266393625714
GMP-like,395,0.7229364963780491,0.1416188183014288,0.46518769275500776,0.4991910779742682,0.2291818741447965
ProB,8,0.6802123401346398,0.0,0.41735028712059064,0.4513535684987695,0.228977745714726
NK,189,0.3362699782584432,0.27182179872942863,0.42587818100533437,0.4652256381542682,0.2272933826099084
Plasma,51,0.6438907234339728,0.11388860527350583,0.4396129903971433,0.4890894175553733,0.22260700189120367
HSC-like,323,0.5255363467247307,0.13352070158373827,0.42612556097090193,0.49275176069305143,0.21843600456343723
Prog,168,0.45236844884612054,0.13033363787530755,0.4015010351966874,0.48149927731552017,0.2087533830119428
B,112,0.27391191458485487,0.20765845544416175,0.4010195710769952,0.48482069612094225,0.20638232381988106
lateEry,132,0.2689777056908672,0.015622889164381976,0.38001715265866215,0.46914385860243124,0.20179522401919556
Prog-like,1004,0.43875287604675867,0.18652345229849995,0.41857549294209545,0.5235032797440264,0.19935214994180955
earlyEry,162,0.3376717139676167,0.08829106672476858,0.37930149181174616,0.49719816890995455,0.1930820105849778
pDC,8,0.2833764624393821,0.18400046024214495,0.36954470877768664,0.5139048400328138,0.1651673092362451
