ModelID,guardian_dependence,executioner_availability,r,resistant
ACH-000002,0.007692307692307693,0.08076923076923077,-4.488296,0
ACH-000004,0.7423076923076923,0.4115384615384615,2.791771,1
ACH-000006,0.41923076923076924,0.8730769230769231,0.578429,0
ACH-000020,0.46923076923076923,0.7346153846153847,-5.8605849999999995,0
ACH-000024,0.8923076923076924,0.676923076923077,0.4219779999999999,0
ACH-000045,0.04230769230769231,0.9461538461538461,-6.299153,0
ACH-000050,0.9653846153846154,0.9153846153846154,0.7882669999999999,1
ACH-000053,0.9961538461538462,0.6615384615384615,2.196939,1
ACH-000056,0.24615384615384617,0.5038461538461538,-3.5314259999999997,0
ACH-000059,0.3576923076923077,0.5153846153846153,-6.33158,0
ACH-000061,0.40384615384615385,0.6846153846153846,1.048084,1
ACH-000070,0.16923076923076924,0.5346153846153846,-3.781931,0
ACH-000072,0.2923076923076923,0.1423076923076923,2.026987,1
ACH-000073,0.9,0.5576923076923077,-2.567233,0
ACH-000074,0.27307692307692305,0.3,1.358989,1
ACH-000081,0.046153846153846156,0.9346153846153846,-3.611171,0
ACH-000101,0.057692307692307696,0.36923076923076925,-0.052148,0
ACH-000104,0.3730769230769231,0.46153846153846156,-3.948906,0
ACH-000105,0.23846153846153847,0.8076923076923077,-2.88503,0
ACH-000106,0.7961538461538461,0.9846153846153847,-0.6009709999999999,0
ACH-000112,0.4653846153846154,0.8384615384615385,2.079169,1
ACH-000113,0.1423076923076923,0.6461538461538462,-5.096418,0
ACH-000124,0.1576923076923077,0.8961538461538462,-4.887884,0
ACH-000146,0.4846153846153846,0.7846153846153846,0.8246319999999999,1
ACH-000151,0.7076923076923077,0.5192307692307693,-1.310198,0
ACH-000156,0.2846153846153846,0.7961538461538461,-1.542837,0
ACH-000157,0.9884615384615385,0.9115384615384615,1.45637,1
ACH-000162,0.6884615384615385,0.5461538461538461,1.732637,1
ACH-000168,0.06923076923076923,0.5769230769230769,0.325121,0
ACH-000183,0.9576923076923077,0.85,0.7537159999999999,0
ACH-000193,0.3423076923076923,0.36153846153846153,-2.214003,0
ACH-000197,0.5192307692307693,0.3038461538461538,1.184486,1
ACH-000198,0.07692307692307693,0.8153846153846154,-4.394442,0
ACH-000204,0.9615384615384616,0.7038461538461539,3.0262119999999997,1
ACH-000218,0.12692307692307692,0.27692307692307694,2.66635,1
ACH-000226,0.9307692307692308,0.9884615384615385,0.3982429999999999,0
ACH-000233,0.8692307692307693,0.6076923076923076,1.541682,1
ACH-000245,0.8192307692307692,0.7423076923076923,0.458252,0
ACH-000263,0.23461538461538461,0.2,-1.5025419999999998,0
ACH-000267,0.4423076923076923,0.4307692307692308,-0.186474,0
ACH-000271,0.8384615384615385,0.08461538461538462,0.3256799999999999,0
ACH-000287,0.6923076923076923,0.33076923076923076,2.4432039999999997,1
ACH-000294,0.13076923076923078,0.5307692307692308,0.037223,0
ACH-000295,0.09615384615384616,0.6692307692307692,1.751633,1
ACH-000301,0.573076923076923,0.11153846153846154,2.4118079999999997,1
ACH-000315,0.7884615384615384,0.9653846153846154,1.354255,1
ACH-000334,0.6846153846153846,0.45,-3.772327,0
ACH-000336,0.5038461538461538,0.43846153846153846,0.12355,0
ACH-000338,0.9846153846153847,0.6884615384615385,0.789621,1
ACH-000346,0.7,0.8192307692307692,2.037753,1
ACH-000357,0.47692307692307695,0.4269230769230769,1.77096,1
ACH-000362,0.11923076923076924,0.7192307692307692,-5.755288999999999,0
ACH-000363,0.7923076923076923,0.4423076923076923,-6.646907,0
ACH-000365,0.5615384615384615,0.3384615384615385,0.769859,0
ACH-000369,0.25961538461538464,0.2653846153846154,1.875503,1
ACH-000371,0.4269230769230769,0.25,-3.532444,0
ACH-000372,0.43846153846153846,0.8115384615384615,0.243194,0
ACH-000373,0.29615384615384616,0.31153846153846154,0.3554779999999999,0
ACH-000380,0.25384615384615383,0.8692307692307693,-4.062689,0
ACH-000386,0.21923076923076923,0.7923076923076923,-1.494587,0
ACH-000432,0.12307692307692308,0.9307692307692308,-3.025933,0
ACH-000439,0.08846153846153847,0.3192307692307692,-5.198708,0
ACH-000440,0.7653846153846153,0.19615384615384615,2.987751,1
ACH-000534,0.6269230769230769,0.2153846153846154,-2.449311,0
ACH-000551,0.5461538461538461,0.15384615384615385,2.768341,1
ACH-000567,0.7769230769230769,0.6346153846153846,2.1737889999999997,1
ACH-000583,0.65,0.38846153846153847,2.041719,1
ACH-000611,0.7384615384615385,0.8807692307692307,-0.745914,0
ACH-000626,0.8884615384615384,0.6576923076923077,3.086873,1
ACH-000636,0.16538461538461538,0.6192307692307693,0.76722,0
ACH-000653,0.7692307692307693,0.4230769230769231,0.8116439999999999,1
ACH-000654,0.4115384615384615,0.65,2.41211,1
ACH-000656,0.8538461538461538,0.35384615384615387,0.663383,0
ACH-000660,0.8307692307692308,0.6423076923076924,0.935138,1
ACH-000664,0.8730769230769231,0.5,2.7988679999999997,1
ACH-000697,0.9538461538461539,0.9076923076923077,0.932507,1
ACH-000702,0.9153846153846154,0.9384615384615385,2.50995,1
ACH-000714,0.8115384615384615,0.5653846153846154,2.416635,1
ACH-000745,0.95,0.823076923076923,2.5917209999999997,1
ACH-000751,0.35384615384615387,0.3576923076923077,1.11051,1
ACH-000754,0.4230769230769231,0.6,2.257805,1
ACH-000763,0.7538461538461538,0.7269230769230769,0.856993,1
ACH-000770,0.3038461538461538,0.7538461538461538,-0.741794,0
ACH-000786,0.7346153846153847,0.8923076923076924,1.999672,1
ACH-000806,0.5961538461538461,0.7807692307692308,0.674866,0
ACH-000815,0.85,0.6807692307692308,3.3013809999999997,1
ACH-000817,0.2076923076923077,0.3923076923076923,0.948468,1
ACH-000821,0.6192307692307693,0.4807692307692308,3.5467,1
ACH-000838,0.9692307692307692,0.9538461538461539,1.392958,1
ACH-000874,0.3384615384615385,0.019230769230769232,-5.150647,0
ACH-000914,0.7307692307692307,0.6923076923076923,3.4482359999999996,1
ACH-000918,0.2423076923076923,0.9,-0.647289,0
ACH-000920,0.7615384615384615,0.926923076923077,1.315053,1
ACH-000922,0.3269230769230769,0.7230769230769231,1.185941,1
ACH-000937,0.3769230769230769,0.47307692307692306,2.867537,1
ACH-000938,0.17307692307692307,0.2846153846153846,-0.919901,0
ACH-000944,0.5076923076923077,0.5807692307692308,0.990221,1
ACH-000953,0.4076923076923077,0.011538461538461539,2.058659,1
ACH-000960,0.2692307692307692,0.9423076923076923,-2.711649,0
ACH-000981,0.8,0.7576923076923077,1.147356,1
ACH-000983,0.49230769230769234,0.5269230769230769,2.16913,1
ACH-000995,0.5230769230769231,0.4846153846153846,1.1535,1
ACH-001064,0.7576923076923077,0.9038461538461539,1.978407,1
ACH-001106,0.11538461538461539,0.9576923076923077,-3.112478,0
ACH-001498,0.9923076923076923,0.7692307692307693,1.5929639999999998,1
ACH-001617,0.5769230769230769,0.25384615384615383,-4.690007,0
ACH-001638,0.9461538461538461,0.9615384615384616,2.199683,1
ACH-001642,0.5423076923076923,0.0038461538461538464,1.408676,1
ACH-001680,1.0,0.03461538461538462,2.33451,1
ACH-001703,0.35,0.05384615384615385,-3.578872,0
ACH-001709,0.8076923076923077,0.23461538461538461,-0.753006,0
ACH-002059,0.23076923076923078,0.08846153846153847,0.1991649999999999,0
ACH-002062,0.5538461538461539,0.7461538461538462,0.218711,0
ACH-002214,0.8961538461538462,0.5923076923076923,2.79127,1
ACH-002215,0.7807692307692308,0.28076923076923077,0.748896,0
ACH-002290,0.25,0.3153846153846154,-2.6662429999999997,0
