cohort,predictor,metric,covar,n,rho,lo,hi
GDSC-navitoclax,BCL2-MCL1,LN_IC50,raw,115,-0.6987848181172572,-0.7934505871256704,-0.5757586044664604
GDSC-venetoclax,BCL2-MCL1,AUC,raw,113,-0.6632926342404685,-0.7647724767360115,-0.538907211497171
GDSC-navitoclax,BCL2-MCL1,AUC,raw,115,-0.6580604434624793,-0.7550003257748943,-0.5356004664129714
GDSC-venetoclax,BCL2-MCL1,LN_IC50,raw,113,-0.6356710359970724,-0.7461863973503146,-0.49189663527076743
BeatAML-venetoclax,BCL2,AUC,raw,367,-0.56664052486892,-0.6272741472370924,-0.48779203096377427
GDSC-venetoclax,composite,LN_IC50,raw,113,-0.5410373278328566,-0.6545674211154915,-0.3976213748603382
GDSC-venetoclax,composite,AUC,raw,113,-0.5402056025018298,-0.6692755681214116,-0.383597781932452
GDSC-venetoclax,BCL2,AUC,raw,113,-0.5134480428441116,-0.6328447674775236,-0.3631449517419377
BeatAML-venetoclax,BCL2-MCL1,AUC,raw,367,-0.5073729068466739,-0.575401858594026,-0.4257647027855381
GDSC-venetoclax,BCL2,LN_IC50,raw,113,-0.45435358944586246,-0.6021667843386718,-0.2738807919475807
GDSC-navitoclax,BCL2,LN_IC50,raw,115,-0.45154137660407606,-0.5824011087793262,-0.28737268307673003
GDSC-navitoclax,composite,LN_IC50,raw,115,-0.44155290775664807,-0.5908230881714879,-0.2614377896811053
GDSC-navitoclax,BCL2,AUC,raw,115,-0.41475428917097246,-0.549221838889432,-0.2574674551212578
GDSC-navitoclax,composite,AUC,raw,115,-0.40654935690049715,-0.5542221128012256,-0.231753560782532
BeatAML-venetoclax,BCL2,AUC,mono-ctrl,367,-0.30684175210380243,-0.38893578359059977,-0.2099536779743903
BeatAML-venetoclax,composite,AUC,raw,367,-0.2746210856810974,-0.35746543402225645,-0.18062708467569813
BeatAML-venetoclax,BCL2-MCL1,AUC,mono-ctrl,367,-0.22048777337779496,-0.3047860549884262,-0.12393928244021664
BeatAML-venetoclax,composite,AUC,mono-ctrl,367,-0.204021501220623,-0.2941502178635294,-0.10243176412797522
GDSC-venetoclax,executioner,LN_IC50,raw,113,-0.004250319714575012,-0.19908434582473047,0.18258508805801962
BeatAML-venetoclax,executioner,AUC,raw,367,0.021968516749174227,-0.08513969296127594,0.12298441423285937
BeatAML-venetoclax,executioner,AUC,mono-ctrl,367,0.02825931586848734,-0.07098190787021767,0.1295531057776006
GDSC-navitoclax,executioner,LN_IC50,raw,115,0.033999017586888,-0.15930820380255228,0.2320660633200712
GDSC-venetoclax,executioner,AUC,raw,113,0.03456815799172944,-0.15764932298610854,0.22705845689818058
GDSC-navitoclax,executioner,AUC,raw,115,0.06539395584136957,-0.12615189018586173,0.2523556265120059
BeatAML-venetoclax,monocytic,AUC,raw,367,0.7213434249300626,0.6699472147143019,0.7737199197722847
